name,smiles,homo,lumo,gap
P2F-EO,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CCCC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,-0.16140172768507188,0.13976257496643296,0.30116430265150484
PPBDTBT,CC1=C(OCC(CCCCCCCCCCCC)CCCCCCCCCC)C(F)=C(C(S2)=CC=C2C(SC3=C4C5=CC=C(SCC(CC)CCCC)C=C5)=CC3=C(C6=CC=C(SCC(CC)CCCC)C=C6)C(S7)=C4C=C7C8=CC=C(C)S8)C9=NSN=C19,-0.15651377265431138,0.12030540651789212,0.2768191791722035
PBDTTPD-HT,CC1=CC(CCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CC)CCCC)S4)=C5C=C(C6=C(CCCCCC)C=C(C7=C(C(N(CCCCCCCC)C8=O)=O)C8=C(C)S7)S6)SC5=C3C9=CC=C(CC(CC)CCCC)S9)S2)S1,-0.15259156000051877,0.14810893265530342,0.3007004926558222
PTZ1,CC1=CC(CC(CCCCCC)CC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCCCC)CCCC)S4)=C5C=C(C6=C(CC(CCCCCC)CC)C=C(C7=NC(SC(C)=N8)=C8S7)S6)SC5=C3C9=CC=C(CC(CCCCCCCC)CCCC)S9)S2)S1,-0.1586438106278571,0.1513064594781089,0.309950270105966
PBDT-TDZ,CC1=CC(CCCCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCC)CCCC)S4)=C5C=C(C6=C(CCCCCCCC)C=C(C7=NN=C(C)S7)S6)SC5=C3C8=CC=C(CC(CCCCCC)CCCC)S8)S2)S1,-0.15871169361390747,0.1505443377683311,0.30925603138223856
PBDTS-TDZ,CC1=CC(CCCCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCC)CCCC)S4)=C5C=C(C6=C(CCCCCCCC)C=C(C7=NN=C(C)S7)S6)SC5=C3C8=CC=C(CC(CCCCCC)CCCC)S8)S2)S1,-0.15871169361392592,0.15054433776832107,0.309256031382247
PBDB-ST,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)SCC(CC)CCCC)=C8C=C(SC8=C6C9=CC=C(S9)SC(CCCC)CC)C,-0.16033116326591412,0.15686464019976648,0.3171958034656806
HFQx-T,CC1=CC=C(S1)C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C7=CC=C(C8=C9C(N=C(C%10=CC(F)=C(OCC(CCCC)CC)C(F)=C%10)C(C%11=CC(F)=C(OCC(CCCC)CC)C(F)=C%11)=N9)=C(C)C(F)=C8F)S7,-0.15235726498791946,0.13537727544640432,0.2877345404343238
PffT2-FTAZ-2DT,FC1=C(C2=NN(N=C2C(C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S3)C4=CC=C(C)S4)=C1F)CCC)C5=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(S5)C6=CC=C(C)S6,-0.16337629173921633,0.14564416497708693,0.3090204567163033
PBDTTT-E-T,CC1=CC2=C(S1)C(C3=CC=C(S3)CC(CCCCCC)CC)=C4C=C(C5=C(C=C(C(OCC(CCCC)CC)=O)S6)C6=C(C)S5)SC4=C2C7=CC=C(S7)CC(CCCCCC)CC,-0.15072867753424202,0.14633296954300698,0.297061647077249
PTPDBDT,CC1=CC2=C(S1)C(C3=CC=C(S3)CC(CCCC)CC)=C4C=C(C5=C(C(N(CCCCCCCC)C6=O)=O)C6=C(C)S5)SC4=C2C7=CC=C(S7)CC(CCCC)CC,-0.16126194135020913,0.15215605826680517,0.31341799961701433
PDCBT,CC1=C(C(OC(CCCCCC)CCCC)=O)C=C(C2=CC(C(OCC(CCCCCC)CCCC)=O)=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)S1,-0.17048157678334985,0.16356731913629083,0.3340488959196407
PTFBDT-BZS,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(OCCCCCCCCCCCC)C(OCCCCCCCCCCCC)=C(C8=NSN=C78)C)=C9)=C9F)CCCC,-0.1612576243371296,0.13001160533988995,0.2912692296770195
P1,CC(C1=NSN=C21)=CC=C2C(S3)=CC=C3C4=CC5=C(OCCCCCCCCCCCC)C(SC(C6=CC=C(S6)C)=C7)=C7C(OCCCCCCCCCCCC)=C5S4,-0.1515761852218774,0.12628938830033062,0.27786557352220803
PSEHTT,CC1=NC(S2)=C(S1)N=C2C(S3)=C(CC(CCCCCC)CC)C=C3C4=CC([Si](CC(CCCCCC)CC)(CC(CCCCCC)CC)C5=C6SC(C7=CC(CC(CCCCCC)CC)=C(C)S7)=C5)=C6S4,-0.14951242952539245,0.16170405705654095,0.3112164865819334
PBT1-EH,O=C1C2=C(SC(C3=CC=C(C)S3)=C2C(C4=C(SC(CC(CCCCCC)CCCC)=C41)CC(CCCCCC)CCCC)=O)C5=CC=C(S5)C6=CC7=C(S6)C(C8=CC=C(S8)SCC(CC)CCCC)=C9C=C(SC9=C7C%10=CC=C(S%10)SC(CCCC)CC)C,-0.15867264320958624,0.1528210495153436,0.3114936927249298
PffBt4T-2OD,CCCCCCCCC(CCCCCCCCCC)CC1=C(C)SC(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C26)=C1,-0.17516956618927562,0.11552869423478315,0.2906982604240588
PBCBT,CC1=C(C(OC(CCCCCC)CCCC)=O)C=C(C2=CC(C(OCC(CCCCCC)CCCC)=O)=C(C3=CC=C(C4=CC=C(C)S4)S3)S2)S1,-0.17048157678335307,0.16356731913628186,0.33404889591963494
PBDB-T1,O=C1C2=C(SC(C)=C2C(C3=C(SC(CCCCCCCC)=C31)CCCCCCCC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)CC(CC)CCCC)=C8C=C(SC8=C6C9=CC=C(S9)CC(CC)CCCC)C%10=CC=C(C)S%10,-0.15433572001885543,0.151833338081364,0.30616905810021944
PBDTTT-C-T,CC1=CC2=C(S1)C(C3=CC=C(S3)CC(CCCCCC)CC)=C4C=C(C5=C(C=C(C(C(CCCC)CC)=O)S6)C6=C(C)S5)SC4=C2C7=CC=C(S7)CC(CCCCCC)CC,-0.15134462255652256,0.1520218301744769,0.3033664527309995
PBDB-TF,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.16114899897664392,0.15526533360254502,0.31641433257918894
PM6,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.16114899897663837,0.1552653336025521,0.3164143325791905
J52-2F,CC1=CC2=C(C3=C(C(C4=CC(F)=C(S4)CC(CCCC)CC)=C2S1)C=C(S3)C5=CC=C(C6=C(C(F)=C(C7=CC=C(S7)C)C8=NN(N=C86)CC(CCCCCC)CCCCCCCC)F)S5)C9=CC(F)=C(S9)CC(CCCC)CC,-0.15887286576929754,0.1401850867093119,0.29905795247860945
PTZ-DO,CC1=CC2=C(C3=C(C(C4=CC(CCCCCCCC)=C(CCCCCCCC)S4)=C2S1)C=C(S3)C5=CC(CCCCCC)=C(C6=NC(SC(C7=C(CCCCCC)C=C(C)S7)=N8)=C8S6)S5)C9=CC(CCCCCCCC)=C(CCCCCCCC)S9,-0.15667649993023328,0.14946651865242425,0.3061430185826575
PBTff4T-2OD,CCCCCCCCC(CC1=C(SC(C2=CC=C(C3=NSN=C23)C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(S4)C5=CC(F)=C(S5)C6=C(F)C=C(S6)C)=C1)C)CCCCCCCCCC,-0.16333122268540384,0.1202056343843808,0.28353685706978465
PM7,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC(Cl)=C(S7)CC(CCCC)CC)=C8C=C(SC8=C6C9=CC(Cl)=C(S9)CC(CCCC)CC)C,-0.16765497334318397,0.1458424367589369,0.31349741010212084
SM1,CCC(CCCC)CN1C2=CC=C(C3=CC=C(C4=CC(CCCCCCCC)=C(/C=C(SC(N5CC)=S)/C5=O)S4)C6=NSN=C36)C=C2SC7=C1C=CC(C8=CC=C(C9=CC(CCCCCCCC)=C(/C=C(SC(N%10CC)=S)/C%10=O)S9)C%11=NSN=C8%11)=C7,-0.17545597094230203,0.12167506693969388,0.2971310378819959
