name,smiles,homo,lumo,gap,mark
J61,CC1=CC2=C(C3=CC=C(SCCCCCCCCCCCC)S3)C4=C(C=C(C(S5)=CC=C5C6=C(F)C(F)=C(C7=NN(CC(CCCCCCCC)CCCCCC)N=C76)C8=CC=C(C)S8)S4)C(C9=CC=C(SCCCCCCCCCCCC)S9)=C2S1,-0.157145574,0.138629213,0.295774786,1
PBDB-T,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)CC(CCCC)CC)=C8C=C(SC8=C6C9=CC=C(S9)CC(CCCC)CC)C,-0.156458844,0.159194571,0.315653415,1
PBDB-T-SF,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(SCC(CCCC)CC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(SC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.166229313,0.153305473,0.319534786,1
PDBT-T1,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC=C(CC(CCCC)CC)S6)=C7C=C(C)SC7=C5C8=CC=C(CC(CCCC)CC)S8)S4)S3)SC(C)=C2C(C9=C(CCCCCCCC)SC(CCCCCCCC)=C91)=O,-0.159125891,0.164185691,0.323311582,1
PBDB-T-2Cl,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(Cl)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(Cl)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.169999623,0.153447577,0.3234472,1
PBDB-T-2F,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,-0.161148999,0.155265334,0.316414333,1
P2F-EH,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,-0.160927883,0.137595609,0.298523492,1
P2F-EHp,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CCC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,-0.160962137,0.137401257,0.298363393,1
P2F-EO,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CCCC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,-0.161401728,0.139762575,0.301164303,1
PPBDTBT,CC1=C(OCC(CCCCCCCCCCCC)CCCCCCCCCC)C(F)=C(C(S2)=CC=C2C(SC3=C4C5=CC=C(SCC(CC)CCCC)C=C5)=CC3=C(C6=CC=C(SCC(CC)CCCC)C=C6)C(S7)=C4C=C7C8=CC=C(C)S8)C9=NSN=C19,-0.156513773,0.120305407,0.276819179,1
